n_tasks,b,m,n_profiles,weight,empirical_risk,empirical_risk_mc_se
19,8,1,5,0.12499999999999997,0.9999999999999998,8.400456096232919e-19
19,8,2,5,0.5147668383973685,2.059067353589474,0.0019108671640399159
19,8,3,5,0.586304452547477,1.5634785401266054,0.0012300601828054637
19,8,4,5,0.629413888941923,1.258827777883846,0.000903933891175119
19,8,5,5,0.6669319288254227,1.0670910861206766,0.0006645808907796237
19,8,6,5,0.7183453899257511,0.9577938532343347,0.00040650145769688737
19,8,7,5,0.875,1.0,0.0
19,16,1,5,0.0625,1.0,0.0
19,16,2,5,0.5032933435976903,4.026346748781522,0.004509619689952042
19,16,3,5,0.5730652914212745,3.056348220913464,0.0029326229807799488
19,16,4,5,0.609128895714855,2.43651558285942,0.002272428832647043
19,16,5,5,0.6316373707245072,2.021239586318423,0.0018923127019179313
19,16,6,5,0.6466897258727505,1.724505935660668,0.0016382362235253579
19,16,7,5,0.6572701225171351,1.5023317086105943,0.0014520928145997645
19,16,8,5,0.6670159975266162,1.3340319950532324,0.0012926496066540734
19,16,9,5,0.6764147339048036,1.2025150824974284,0.001144411056642579
19,16,10,5,0.6869527862311088,1.099124457969774,0.0009940646374234547
19,16,11,5,0.7016213916829899,1.020540206084349,0.000837630456392506
19,16,12,5,0.7230369420843137,0.9640492561124183,0.0006613704317358944
19,16,13,5,0.7563283463382147,0.9308656570316489,0.0004535100263936417
19,16,14,5,0.8143559404515212,0.930692503373167,0.00021390652987138322
19,16,15,5,0.9375,1.0,0.0
19,32,1,5,0.031249999999999993,0.9999999999999998,1.8986707061624223e-18
19,32,2,5,0.4986666193839255,7.978665910142808,0.009614954009809305
19,32,3,5,0.5686365035745046,6.0654560381280485,0.006220549613111461
19,32,4,5,0.6036777353077325,4.82942188246186,0.004835927522574241
19,32,5,5,0.6244703146843613,3.9966100139799123,0.004061718920699436
19,32,6,5,0.6369753056786386,3.3972016302860726,0.003570932429694927
19,32,7,5,0.6438781951208237,2.9434431776951935,0.0032429842550933097
19,32,8,5,0.6486449858801693,2.594579943520677,0.0029879442225277057
19,32,9,5,0.6510454389440101,2.3148282273564806,0.002781594038445867
19,32,10,5,0.6515440954628876,2.08494110548124,0.0026019122888338527
19,32,11,5,0.6517649030969115,1.8960433544637425,0.0024514853452171363
19,32,12,5,0.651738381845696,1.7379690182551895,0.002310730491763993
19,32,13,5,0.6510907639882761,1.602684957509603,0.0021707604266146836
19,32,14,5,0.6512021221687336,1.488461993528534,0.002035047499743107
19,32,15,5,0.6515496223426355,1.3899725276642891,0.001908230691841613
19,32,16,5,0.652512098707214,1.305024197414428,0.0017839098922843338
19,32,17,5,0.6541558104476599,1.2313521137838306,0.0016608153276095406
19,32,18,5,0.6568967227508752,1.1678163960015557,0.0015359179612050868
19,32,19,5,0.660239282026178,1.1119819486756681,0.001419889325265181
