n_tasks,b,m_star,weight_star,design_risk
19,8,6,0.7183453899257511,0.9577938532343347
19,16,14,0.8143559404515212,0.930692503373167
19,32,27,0.7638454214270363,0.9052982772468579
19,64,53,0.7280326870748276,0.8791338108073389
30,8,6,0.7260392539092148,0.9680523385456197
30,16,14,0.8350432926431656,0.9543351915921892
30,32,29,0.8687410883812703,0.95861085614485
30,64,59,0.8871793265997072,0.9623640152945976
86,8,6,0.6848819207099666,0.9131758942799555
86,16,13,0.7220785699558987,0.8887120860995678
86,32,27,0.7403055218814147,0.8773991370446396
86,64,54,0.7350930292923454,0.8712213680501871
93,8,6,0.709812588656468,0.9464167848752907
93,16,13,0.7549726875071017,0.9291971538548944
93,32,27,0.7708827922898236,0.9136388649360871
93,64,51,0.706684150700776,0.8868193263696013
100,8,6,0.7015753069633256,0.9354337426177673
100,16,14,0.8042625115466824,0.9191571560533511
100,32,28,0.7967533192670281,0.9105752220194605
100,64,55,0.7792100020100606,0.9067170932480705
