n_tasks,b,m,weight,prior_risk,prior_risk_mc_se
19,8,1,0.12431791324564981,0.9945433059651985,0.0014209089066153718
19,8,2,0.24544419876377532,0.9817767950551013,0.0021279019166917544
19,8,3,0.36457304203573393,0.9721947787619571,0.001919678920007141
19,8,4,0.485297484642079,0.970594969284158,0.0016158758286139736
19,8,5,0.6089690101749918,0.974350416279987,0.001262849647794701
19,8,6,0.7384120671609337,0.9845494228812448,0.0008576556017355654
19,8,7,0.8753592286217172,1.0004105469962485,0.0003800043656413808
19,16,1,0.061977558079706375,0.991640929275302,0.001520780224601757
19,16,2,0.12205719859895127,0.9764575887916102,0.0024625727927487682
19,16,3,0.18028624976921653,0.9615266654358213,0.0024506467535899724
19,16,4,0.23828071042752247,0.9531228417100899,0.0023506581711305796
19,16,5,0.2964121204348226,0.9485187853914324,0.002216986821453804
19,16,6,0.35491981920455346,0.9464528512121425,0.0020675545148279135
19,16,7,0.41432353577491965,0.9470252246283879,0.0019060008216327568
19,16,8,0.47449976691585544,0.9489995338317109,0.0017335745001325435
19,16,9,0.5355872254421808,0.9521550674527658,0.0015533680467433857
19,16,10,0.5979989938731094,0.9567983901969751,0.0013611327176165668
19,16,11,0.6617539457245284,0.9625511937811321,0.00115901641096776
19,16,12,0.726644966706747,0.968859955608996,0.0009491837012326103
19,16,13,0.7941451867923945,0.9774094606675625,0.0007198407989916626
19,16,14,0.8613343899246492,0.9843821599138849,0.0004928303620542475
19,16,15,0.9376659189802035,1.0001769802455505,0.00019218101038099653
19,32,1,0.03097096423404178,0.9910708554893369,0.0015698829113178182
19,32,2,0.06089925637489183,0.9743881019982693,0.002628688489313033
19,32,3,0.089700438219659,0.9568046743430294,0.0027081969135344425
19,32,4,0.11814678625240867,0.9451742900192693,0.0026991603992869042
19,32,5,0.14639779278760467,0.9369458738406701,0.0026574210464712965
19,32,6,0.17451634428557256,0.9307538361897202,0.0026024394690650357
19,32,7,0.20277497299120054,0.9269713051026313,0.002540336275550158
19,32,8,0.23106934785642735,0.9242773914257094,0.0024716504977254764
19,32,9,0.25946407559447315,0.9225389354470157,0.0024005866227587215
19,32,10,0.28805369188941676,0.9217718140461337,0.002324097832627371
19,32,11,0.3168854902874484,0.9218486990180317,0.002245547282558949
19,32,12,0.3459291282368025,0.92247767529814,0.0021644367582614008
19,32,13,0.3752434947979683,0.9236762948873066,0.0020810116151212124
19,32,14,0.4048929681060146,0.9254696413851764,0.001995474105319993
19,32,15,0.434806844479261,0.9275879348890901,0.0019074270306520145
19,32,16,0.46499821401424185,0.9299964280284837,0.0018175135533622787
19,32,17,0.4955471335481347,0.9327946043259006,0.001724680004776007
19,32,18,0.5264165900345735,0.9358517156170196,0.001629690390017531
19,32,19,0.5576867163156546,0.9392618380053132,0.0015322013575035512
19,32,20,0.589210256692876,0.9427364107086016,0.0014323491307515715
19,32,21,0.6211955862404482,0.9465837504616355,0.0013295139406481985
19,32,22,0.6535099350316528,0.9505599055005858,0.0012242219160384159
19,32,23,0.6863008664534379,0.9548533794134788,0.00111567895421199
19,32,24,0.719414977523355,0.95921997003114,0.001004743516166589
19,32,25,0.7530632336142367,0.9639209390262229,0.0008899259393530045
19,32,26,0.7870810732764282,0.9687151671094499,0.0007724879854324584
19,32,27,0.8214995086833129,0.9736290473283709,0.0006522522082897993
19,32,28,0.8568751191048043,0.9792858504054908,0.000525041167738166
19,32,29,0.8920384466379876,0.9843182859453656,0.0003994354881829365
19,32,30,0.9284151718994678,0.9903095166927655,0.000265045576442577
19,32,31,0.9688230829323545,1.0000754404463015,9.657093883636532e-05
19,64,1,0.015482059616473476,0.9908518154543025,0.0015945978749274583
19,64,2,0.030420564300810592,0.973458057625939,0.0027114007846938217
19,64,3,0.04474537772780112,0.9545680581930905,0.002835344870525924
19,64,4,0.058836544507133264,0.9413847121141322,0.002869193641287734
19,64,5,0.07276525803896533,0.9313953028987562,0.002869574759888749
19,64,6,0.08655616410124485,0.9232657504132783,0.002856633951866458
19,64,7,0.10034826881435849,0.9174698863027063,0.0028373986400812637
19,64,8,0.11407902224140706,0.9126321779312565,0.0028119002170783583
19,64,9,0.12777552924358176,0.908625985732137,0.0027848980363750376
19,64,10,0.14148811880607098,0.9055239603588545,0.0027532468526134594
19,64,11,0.15523759648144234,0.9032005613465736,0.0027208667226411073
19,64,12,0.16899991108921084,0.9013328591424576,0.0026870044042545354
19,64,13,0.18280782390021932,0.8999769792010799,0.002652277466330831
19,64,14,0.1966973660546814,0.8991879591071151,0.002617249643770138
19,64,15,0.210618109040695,0.8986372652402986,0.0025810782386222627
19,64,16,0.22457235105664977,0.8982894042265991,0.0025446803345512813
19,64,17,0.23860459074325469,0.898276106327547,0.002507091231520039
19,64,18,0.2526916130163105,0.8984590685024372,0.0024691386319481623
19,64,19,0.2668739497563028,0.8989438307580726,0.0024309589993750814
19,64,20,0.28104890258810655,0.899356488281941,0.002391830367734064
19,64,21,0.29534548417288214,0.9001005231935456,0.002352293318412414
19,64,22,0.30969771430525994,0.9009388052516653,0.0023121037364434486
19,64,23,0.32413762871182905,0.9019481842416113,0.0022715987520361717
19,64,24,0.3386356021057432,0.9030282722819818,0.002230169622971545
19,64,25,0.35321758655902374,0.9042370215911009,0.002188208501018623
19,64,26,0.36787556338429733,0.9055398483305781,0.0021456921266105773
19,64,27,0.38261769198452383,0.9069456402596119,0.0021029025108450835
19,64,28,0.39746262723121045,0.9084860050999097,0.002059076918522327
19,64,29,0.41239532674572715,0.9101138245422944,0.002014556861329473
19,64,30,0.4274093468735797,0.9118066066636366,0.001969659237999802
19,64,31,0.44252894801652914,0.913608150743802,0.0019240131773239795
