n_tasks,b,m_star,weight_star,design_risk
19,8,4,0.485297484642079,0.970594969284158
19,16,6,0.35491981920455346,0.9464528512121425
19,32,10,0.28805369188941676,0.9217718140461337
19,64,17,0.23860459074325469,0.898276106327547
30,8,4,0.4827531212313649,0.9655062424627298
30,16,6,0.35264930588277205,0.9403981490207254
30,32,10,0.28592995791015385,0.9149758653124923
30,64,16,0.2228152798475245,0.891261119390098
86,8,4,0.48110794101548293,0.9622158820309659
86,16,6,0.3509609945431629,0.9358959854484343
86,32,10,0.2845265406717833,0.9104849301497066
86,64,16,0.22153634866855376,0.886145394674215
93,8,4,0.4822084863696802,0.9644169727393604
93,16,6,0.35202731631613504,0.9387395101763603
93,32,10,0.2854827011975743,0.913544643832238
93,64,16,0.22242432037793883,0.8896972815117553
100,8,4,0.4812296048277006,0.9624592096554012
100,16,6,0.3511697280337486,0.9364526080899964
100,32,10,0.28473952736973573,0.9111664875831545
100,64,16,0.22177634090182216,0.8871053636072886
