n_tasks,b,alpha,m,weight,prior_risk,prior_risk_mc_se
19,8,0.01,1,0.125,1.0,8.913113862272855e-19
19,8,0.01,2,0.20442867172703333,0.8177146869081333,0.0007648744792045378
19,8,0.01,3,0.27797960146235345,0.7412789372329425,0.0008623594533288032
19,8,0.01,4,0.3585548963819532,0.7171097927639064,0.0008862692904768323
19,8,0.01,5,0.45619633184145053,0.7299141309463207,0.0008831864059797628
19,8,0.01,6,0.5850707516036042,0.7800943354714722,0.0007768818015236889
19,8,0.01,7,0.8755950622839553,1.0006800711816632,0.0005513070412388253
19,8,0.02,1,0.125,1.0,9.087880800748793e-19
19,8,0.02,2,0.21066908554542377,0.8426763421816951,0.0006752127178852899
19,8,0.02,3,0.29064998121694485,0.7750666165785195,0.0007600699602332026
19,8,0.02,4,0.378796717131737,0.757593434263474,0.0007802633964907994
19,8,0.02,5,0.4829398285157388,0.772703725625182,0.0007521360396165232
19,8,0.02,6,0.6150570609093985,0.8200760812125313,0.0006252162690426427
19,8,0.02,7,0.8753455934559086,1.00039496394961,0.0003895039342606704
19,8,0.03,1,0.125,1.0,0.0
19,8,0.03,2,0.21529330780381148,0.8611732312152459,0.0006256646178952883
19,8,0.03,3,0.30063553495873124,0.8016947598899499,0.000706450791059578
19,8,0.03,4,0.3933920555025623,0.7867841110051246,0.000713942305438826
19,8,0.03,5,0.5001614673850464,0.8002583478160743,0.0006726500743011181
19,8,0.03,6,0.6341232469219942,0.8454976625626589,0.0005404050235356683
19,8,0.03,7,0.8751973268764012,1.0002255164301728,0.0003172195164883747
19,8,0.04,1,0.12499999999999994,0.9999999999999996,1.4156122016551005e-18
19,8,0.04,2,0.21904334192513547,0.8761733677005419,0.0005906498556632827
19,8,0.04,3,0.3081616164111185,0.8217643104296495,0.0006628473200918307
19,8,0.04,4,0.40377077645005244,0.8075415529001049,0.0006615581235268173
19,8,0.04,5,0.5130083734691184,0.8208133975505894,0.0006151128311014207
19,8,0.04,6,0.6479776953166876,0.8639702604222501,0.0004819171764380313
19,8,0.04,7,0.8751003755940511,1.00011471496463,0.00027327510982827756
19,8,0.05,1,0.125,1.0,0.0
19,8,0.05,2,0.22200092009446448,0.8880036803778579,0.0005605946763999341
19,8,0.05,3,0.3141571994056165,0.8377525317483108,0.0006278908292582743
19,8,0.05,4,0.41252528626673035,0.8250505725334607,0.0006247302124861159
19,8,0.05,5,0.5236273807696855,0.8378038092314969,0.0005731385770819208
19,8,0.05,6,0.6589110113424919,0.8785480151233226,0.0004400055740184846
19,8,0.05,7,0.8751013466296774,1.0001158247196313,0.00024347667669123003
19,8,0.06,1,0.125,1.0,6.524632369768366e-19
19,8,0.06,2,0.22434252943513358,0.8973701177405343,0.000532841528155664
19,8,0.06,3,0.3189707346970551,0.8505886258588137,0.0005984022648504991
19,8,0.06,4,0.4195724098472946,0.8391448196945892,0.0005929801026723535
19,8,0.06,5,0.5321846260194629,0.8514954016311407,0.0005388376253114461
19,8,0.06,6,0.6677050953685519,0.8902734604914024,0.000406567712768227
19,8,0.06,7,0.8750136116015352,1.0000155561160404,0.0002214607644473415
19,8,0.07,1,0.125,1.0,5.69240885321628e-19
19,8,0.07,2,0.22642842676504388,0.9057137070601755,0.0005098110093400849
19,8,0.07,3,0.32332205159148847,0.8621921375773025,0.0005725588747172257
19,8,0.07,4,0.42585195468835474,0.8517039093767095,0.0005651611759493076
19,8,0.07,5,0.5394862102376323,0.8631779363802116,0.000506985255332268
19,8,0.07,6,0.6749167604448768,0.8998890139265022,0.0003782829514502883
19,8,0.07,7,0.8750154552015366,1.0000176630874704,0.00020370597346378242
19,8,0.08,1,0.12499999999999999,0.9999999999999999,0.0
19,8,0.08,2,0.2282856211158099,0.9131424844632396,0.0004889395874419499
19,8,0.08,3,0.3271860968662089,0.8724962583098905,0.0005506756531285015
19,8,0.08,4,0.43119317824832426,0.8623863564966485,0.0005412390826151632
19,8,0.08,5,0.5457612132001299,0.8732179411202079,0.00048270440339031906
19,8,0.08,6,0.6812318308064875,0.9083091077419835,0.00035553152686939
19,8,0.08,7,0.8750108146933898,1.0000123596495885,0.0001897688023080653
19,8,0.09,1,0.12500000000000006,1.0000000000000004,9.165554995626987e-19
19,8,0.09,2,0.2298951238803559,0.9195804955214236,0.0004693441044748559
19,8,0.09,3,0.3303989618315115,0.8810638982173641,0.0005291891378355504
19,8,0.09,4,0.436037483541923,0.872074967083846,0.0005195270682317492
19,8,0.09,5,0.5514002981716726,0.8822404770746761,0.00045942275347102057
19,8,0.09,6,0.6870310652384161,0.9160414203178882,0.00033418007196576327
19,8,0.09,7,0.8750733369312005,1.0000838136356578,0.00017757067731737956
19,8,0.1,1,0.12500000000000003,1.0000000000000002,0.0
19,8,0.1,2,0.23136017731568434,0.9254407092627374,0.0004523809789440471
19,8,0.1,3,0.33341541665801416,0.8891077777547043,0.000511212591899222
19,8,0.1,4,0.4401140337907137,0.8802280675814274,0.0004987882535460986
19,8,0.1,5,0.5563047999947948,0.8900876799916717,0.0004385231531556702
19,8,0.1,6,0.691678685656982,0.9222382475426426,0.00031696383296983197
19,8,0.1,7,0.8751128739077744,1.0001289987517423,0.00016738380583173013
19,8,0.11,1,0.12500000000000003,1.0000000000000002,7.753296906932538e-19
19,8,0.11,2,0.23257467986465596,0.9302987194586239,0.00043499754471358084
19,8,0.11,3,0.3359069108426171,0.8957517622469788,0.0004925277961645044
19,8,0.11,4,0.4437880675714493,0.8875761351428986,0.00048142791719855624
19,8,0.11,5,0.5605368339779697,0.8968589343647516,0.00042041024438774677
19,8,0.11,6,0.6956101190386081,0.9274801587181442,0.0003025878494977229
19,8,0.11,7,0.875044355527237,1.000050692031128,0.00015889552600493548
19,8,0.12,1,0.12500000000000003,1.0000000000000002,0.0
19,8,0.12,2,0.23365642344370233,0.9346256937748093,0.0004198898457500402
19,8,0.12,3,0.33825441206732365,0.9020117655128631,0.00047663933942548116
19,8,0.12,4,0.4472052844958038,0.8944105689916076,0.0004654487855114807
19,8,0.12,5,0.5644047960370976,0.9030476736593561,0.00040346907275077204
19,8,0.12,6,0.6993402483102755,0.9324536644137007,0.0002887808955175688
19,8,0.12,7,0.8750322092504111,1.0000368105718984,0.00015101758447441568
19,8,0.13,1,0.12499999999999997,0.9999999999999996,6.775579768605609e-19
19,8,0.13,2,0.2347108045620075,0.9388432182480299,0.00040677829594672416
