n_tasks,b,alpha,m_star,weight_star,design_risk
19,8,0.01,4,0.3585548963819532,0.7171097927639064
19,8,0.02,4,0.378796717131737,0.757593434263474
19,8,0.03,4,0.3933920555025623,0.7867841110051246
19,8,0.04,4,0.40377077645005244,0.8075415529001049
19,8,0.05,4,0.41252528626673035,0.8250505725334607
19,8,0.06,4,0.4195724098472946,0.8391448196945892
19,8,0.07,4,0.42585195468835474,0.8517039093767095
19,8,0.08,4,0.43119317824832426,0.8623863564966485
19,8,0.09,4,0.436037483541923,0.872074967083846
19,8,0.1,4,0.4401140337907137,0.8802280675814274
19,8,0.11,4,0.4437880675714493,0.8875761351428986
19,8,0.12,4,0.4472052844958038,0.8944105689916076
19,8,0.13,4,0.4502520351450141,0.9005040702900281
19,8,0.14,4,0.45305177934519697,0.9061035586903939
19,8,0.15,4,0.4555339318848622,0.9110678637697244
19,8,0.16,4,0.45781433891713,0.91562867783426
19,8,0.17,4,0.45999978551810894,0.9199995710362179
19,8,0.18,4,0.4621720999227205,0.924344199845441
19,8,0.19,4,0.4640104925355242,0.9280209850710484
19,8,0.2,4,0.46573892528460564,0.9314778505692113
19,8,0.25,4,0.4727342415331787,0.9454684830663574
19,8,0.5,4,0.4895914421306081,0.9791828842612162
19,8,1.0,4,0.49910546885810886,0.9982109377162177
19,16,0.01,7,0.2482391343552743,0.5674037356691984
19,16,0.02,7,0.2718582561068724,0.6213902996728512
19,16,0.03,7,0.2887318196465565,0.6599584449064148
19,16,0.04,7,0.30188168515621333,0.6900152803570592
19,16,0.05,7,0.3129889493900993,0.7154033128916555
19,16,0.06,7,0.32219031234158985,0.7364349996379197
19,16,0.07,7,0.33021427891082294,0.7547754946533095
19,16,0.08,7,0.3372826067800075,0.770931672640017
19,16,0.09,7,0.3436620758297224,0.7855133161822228
19,16,0.1,7,0.3493563859343363,0.798528882135626
19,16,0.11,7,0.35429889100651185,0.8098260365863129
19,16,0.12,7,0.35887363449174414,0.8202825931239865
19,16,0.13,7,0.3630673570380963,0.8298682446585057
19,16,0.14,7,0.36694143203823093,0.8387232732302421
19,16,0.15,7,0.3703440885709657,0.8465007738764929
19,16,0.16,7,0.37349108358546496,0.8536939053382055
19,16,0.17,7,0.3765509173833592,0.8606878111619639
19,16,0.18,7,0.37942228385464966,0.8672509345249135
19,16,0.19,7,0.38203740861013064,0.8732283625374415
19,16,0.2,7,0.3845725920279161,0.8790230674923797
19,16,0.25,7,0.39458950384124813,0.9019188659228531
19,16,0.5,7,0.4187180527416497,0.9570698348380565
19,16,1.0,7,0.43156664945287765,0.9864380558922919
19,32,0.01,13,0.17814051708460873,0.4384997343621138
19,32,0.02,12,0.1881003959841903,0.5016010559578408
19,32,0.03,12,0.20518997878865297,0.5471732767697413
19,32,0.04,12,0.21891635673131582,0.5837769512835089
19,32,0.05,12,0.23046811034832768,0.6145816275955406
19,32,0.06,11,0.22024343888435785,0.6407081858454047
19,32,0.07,11,0.22810729887122738,0.6635848694435705
19,32,0.08,11,0.2351252711751067,0.6840007888730377
19,32,0.09,11,0.2415360288829878,0.7026502658414191
19,32,0.1,11,0.24728812203954065,0.719383627751391
19,32,0.11,11,0.2523463722484737,0.7340985374501056
19,32,0.12,11,0.25697632007814214,0.747567476590959
19,32,0.13,11,0.26129321961048646,0.7601257297759606
19,32,0.14,11,0.2652834803563004,0.7717337610365103
19,32,0.15,11,0.2688670457945998,0.7821586786751993
19,32,0.16,11,0.2721676144665478,0.7917603329935936
19,32,0.17,11,0.27536493591601685,0.8010616317556853
19,32,0.18,11,0.27836930905259943,0.8098016263348348
19,32,0.19,11,0.28112314617893436,0.8178127888841727
19,32,0.2,11,0.28378055424906923,0.8255434305427469
19,32,0.25,11,0.2945076007269772,0.8567493839330247
19,32,0.5,11,0.32109257904459043,0.9340875026751722
19,32,1.0,12,0.36648676131315566,0.9772980301684151
