pair_key,benchmark,model,n_tasks,b,policy,alpha,m,weight,variance_ratio,ratio_mc_se
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,8,hbn,,4,0.4827531212313649,0.9188682551141313,0.00032433916646620615
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,16,hbn,,6,0.35264930588277205,0.8757633448885511,0.0005876541794023175
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,32,hbn,,10,0.28592995791015385,0.8136501074686884,0.0005396566449912141
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,64,hbn,,16,0.2228152798475245,0.7552239388524137,0.00048717803527436573
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,8,hbn,,4,0.4827531212313649,0.8659566396884188,0.0005223782420907937
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,16,hbn,,6,0.35264930588277205,0.8001268428092698,0.0006436570891404013
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,32,hbn,,10,0.28592995791015385,0.7317598832297599,0.0007022307675761088
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,64,hbn,,16,0.2228152798475245,0.6642594404182274,0.0006798399161613211
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,8,hbn,,4,0.4827531212313649,0.8394771758274795,0.00042582575694247556
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,16,hbn,,6,0.35264930588277205,0.7633174165607386,0.0006065674788239738
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,32,hbn,,10,0.28592995791015385,0.6971580909791075,0.0005014044308179027
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,64,hbn,,16,0.2228152798475245,0.6456595320454765,0.0004625771296109799
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,8,hbn,,4,0.4827531212313649,0.9103198426793468,0.00022058851403994312
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,16,hbn,,6,0.35264930588277205,0.8422300052523055,0.00035521146899768257
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,32,hbn,,10,0.28592995791015385,0.7825891313654438,0.0003068257267014308
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,64,hbn,,16,0.2228152798475245,0.732949401138567,0.0002726213696395679
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,8,hbn,,4,0.4827531212313649,0.9367984647138105,0.000262454803758917
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,16,hbn,,6,0.35264930588277205,0.8907362827341168,0.000294249295068547
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,32,hbn,,10,0.28592995791015385,0.8423145564495849,0.0003083955469712423
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,64,hbn,,16,0.2228152798475245,0.8012646520536888,0.0002822080269207489
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,8,hbn,,4,0.4827531212313649,0.9551166989057858,0.00028626009909440964
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,16,hbn,,6,0.35264930588277205,0.9166649205657749,0.000332416174147916
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,32,hbn,,10,0.28592995791015385,0.874573123302508,0.0003371994890633807
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,64,hbn,,16,0.2228152798475245,0.8372024517234677,0.0002973550684442633
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,8,hbn,,4,0.4827531212313649,0.8925826576122573,0.00028627997558456557
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,16,hbn,,6,0.35264930588277205,0.830384411828073,0.00040221849665804637
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,32,hbn,,10,0.28592995791015385,0.7732449719983256,0.0004157676475853428
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,64,hbn,,16,0.2228152798475245,0.7169282912021446,0.00038459710651991954
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,8,hbn,,4,0.4827531212313649,0.910841024093103,0.0005555818799824844
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,16,hbn,,6,0.35264930588277205,0.8776288459642586,0.0008298317248577793
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,32,hbn,,10,0.28592995791015385,0.8190052440738175,0.0009132469647335777
