pair_key,benchmark,model,n_tasks,b,policy,alpha,m,weight,variance_ratio,ratio_mc_se
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9434981397739217,0.00048663734876519353
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8794177677960058,0.0005936795112054799
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8697557337577632,0.0005951325699865266
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8999974264715007,0.00038281106852803757
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.934396360007111,0.0003743963729880063
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9576352985070122,0.00036486307106644146
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9096217885306257,0.0004234715543488639
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9098562604804588,0.000640147588789689
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8782630970652373,0.0004840732978756066
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9372799577069859,0.0003353270040354822
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9377359462967931,0.00040747684907765713
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.927478315420276,0.00043307523962561714
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8669476100978906,0.0005539374830700069
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8321816960054419,0.0006838429947832784
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.8484189706911083,0.0006106166266305883
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9530772865001325,0.0003341816648628273
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9341540802454917,0.0003919255208042312
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,8,tuned_ibn,0.13,4,0.44912823929930057,0.9359247969145341,0.00036207148375804165
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,8,tuned_ibn,0.13,4,0.4502520351450141,0.8237303744390454,0.0010997029802653072
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,8,tuned_ibn,0.13,4,0.4502520351450141,0.8690658045252424,0.0010094775437194906
