profile,model,budget,strategy,time_seconds,useful_eflop,wasted_eflop,accepted_rollouts,extra_rollouts
aime24__model=qwen2_5_32b,qwen2_5_32b,8,uniform,393.685032915,0.016771609201844225,0,240,0
aime24__model=qwen2_5_32b,qwen2_5_32b,8,hbn-sync,779.412449008,0.017802789774102528,0.0,240,0
aime24__model=qwen2_5_32b,qwen2_5_32b,8,hbn-async,76.07738199,0.015269771823220736,0.002711257053442048,240,47
aime24__model=qwen2_5_32b,qwen2_5_32b,16,uniform,428.716402783,0.03686903758505984,0,480,0
aime24__model=qwen2_5_32b,qwen2_5_32b,16,hbn-sync,855.267263708,0.040230327571951614,0.0,480,0
aime24__model=qwen2_5_32b,qwen2_5_32b,16,hbn-async,461.152944677,0.04030742877288858,0.003882121037907968,480,35
aime24__model=qwen2_5_32b,qwen2_5_32b,32,uniform,513.413211779,0.07453275848058266,0,960,0
aime24__model=qwen2_5_32b,qwen2_5_32b,32,hbn-sync,942.416405376,0.07925956767570125,0.0,960,0
aime24__model=qwen2_5_32b,qwen2_5_32b,32,hbn-async,507.054977561,0.06962467034524877,0.000379584375058432,960,5
aime24__model=qwen2_5_32b,qwen2_5_32b,64,uniform,716.792739438,0.14708172617883034,0,1920,0
aime24__model=qwen2_5_32b,qwen2_5_32b,64,hbn-sync,1052.624895576,0.15265680852237107,0.0,1920,0
aime24__model=qwen2_5_32b,qwen2_5_32b,64,hbn-async,1023.178256343,0.1510786350324142,0.001980821869125632,1920,11
aime24__model=qwen2_5_3b,qwen2_5_3b,8,uniform,76.909978732,0.003927436019884032,0,240,0
aime24__model=qwen2_5_3b,qwen2_5_3b,8,hbn-sync,136.672232448,0.003193841035534336,0.0,240,0
aime24__model=qwen2_5_3b,qwen2_5_3b,8,hbn-async,89.756770176,0.003588125602545664,0.000541126987227136,240,34
aime24__model=qwen2_5_3b,qwen2_5_3b,16,uniform,85.351270541,0.007682370179571712,0,480,0
aime24__model=qwen2_5_3b,qwen2_5_3b,16,hbn-sync,155.73618534,0.007466592253239296,0.0,480,0
aime24__model=qwen2_5_3b,qwen2_5_3b,16,hbn-async,98.147218348,0.007547683347521536,0.00085048574705664,480,37
aime24__model=qwen2_5_3b,qwen2_5_3b,32,uniform,113.828984243,0.012936782952538112,0,960,0
aime24__model=qwen2_5_3b,qwen2_5_3b,32,hbn-sync,164.97454243,0.012763056050700288,0.0,960,0
aime24__model=qwen2_5_3b,qwen2_5_3b,32,hbn-async,164.118942929,0.014413045219278848,0.001268395036884992,960,45
aime24__model=qwen2_5_3b,qwen2_5_3b,64,uniform,184.015319872,0.028482624231686144,0,1920,0
aime24__model=qwen2_5_3b,qwen2_5_3b,64,hbn-sync,206.047827821,0.024228724985430015,0.0,1920,0
aime24__model=qwen2_5_3b,qwen2_5_3b,64,hbn-async,164.946334238,0.025555981232472064,0.00045324083341721604,1920,17
aime24__model=qwen2_5_7b,qwen2_5_7b,8,uniform,108.974391642,0.00572829571209728,0,240,0
aime24__model=qwen2_5_7b,qwen2_5_7b,8,hbn-sync,199.456805374,0.00628656930517504,0.0,240,0
aime24__model=qwen2_5_7b,qwen2_5_7b,8,hbn-async,137.959218548,0.005520934045892608,0.000839459565615104,240,31
aime24__model=qwen2_5_7b,qwen2_5_7b,16,uniform,118.936057267,0.010941511301697536,0,480,0
aime24__model=qwen2_5_7b,qwen2_5_7b,16,hbn-sync,204.768515767,0.009581798608370688,0.0,480,0
aime24__model=qwen2_5_7b,qwen2_5_7b,16,hbn-async,124.265860712,0.009005591007909888,0.000578353978682368,480,18
aime24__model=qwen2_5_7b,qwen2_5_7b,32,uniform,156.961679971,0.021855230706491393,0,960,0
aime24__model=qwen2_5_7b,qwen2_5_7b,32,hbn-sync,225.506333685,0.01851176913144832,0.0,960,0
aime24__model=qwen2_5_7b,qwen2_5_7b,32,hbn-async,138.81554601,0.018985126997738497,0.001027606972084224,960,18
aime24__model=qwen2_5_7b,qwen2_5_7b,64,uniform,211.464700089,0.04118111125108736,0,1920,0
aime24__model=qwen2_5_7b,qwen2_5_7b,64,hbn-sync,300.411198745,0.03697832703684403,0.0,1920,0
aime24__model=qwen2_5_7b,qwen2_5_7b,64,hbn-async,193.779315324,0.037557072867328,0.000220907752282112,1920,8
aime24__model=qwen3_5_27b,qwen3_5_27b,8,uniform,595.024956524,0.15073013202334926,0,240,0
aime24__model=qwen3_5_27b,qwen3_5_27b,8,hbn-sync,911.487977078,0.15747012004982683,0.0,240,0
