profile,model,reference_budget,budget,n_tasks,hbn_variance_ratio,continuous_equivalent_budget,uniform_over_hbn_variance_ratio,replay_sha256,protocol_version,target_fingerprint
aime24__model=qwen2_5_32b,qwen2_5_32b,8,8,30,0.9188682551141313,8.706362370747405,1.0882952963434256,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,ea69bd43ad20ee5fac5510647dfaa8ce517626b5f04805acc52cd2a8c97f6282
aime24__model=qwen2_5_32b,qwen2_5_32b,16,18,30,0.8757633448885511,18.269775839997216,1.014987546666512,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,15df857514fe1ff900dda8eaee952b9a0b13a47aa69c78faf96ba4edbc5e6298
aime24__model=qwen2_5_32b,qwen2_5_32b,32,39,30,0.8136501074686884,39.32894459948369,1.0084344769098383,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,4285dd7b166cf753ab6146fad4d1c47d0ed648fcfe18d02dc2959037e0cb3669
aime24__model=qwen2_5_32b,qwen2_5_32b,64,84,30,0.7552239388524137,84.74307646716018,1.0088461484185736,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,838e74784f6d5586e078570ee7f810ae7c692c0174aa1a8be4aa8299b460f1e5
aime24__model=qwen2_5_3b,qwen2_5_3b,8,9,30,0.8659566396884188,9.238337848969543,1.026481983218838,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,399b9e4ebab2974cdc03b78b8887ca78eceaded4b3dbc6a04dcfddc6f43f0926
aime24__model=qwen2_5_3b,qwen2_5_3b,16,19,30,0.8001268428092698,19.99682943247287,1.0524647069722564,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,6a428c7c7ec94cb6962b309eac1c81d363b418764e3ba1829f64b19201c6bf0e
aime24__model=qwen2_5_3b,qwen2_5_3b,32,43,30,0.7317598832297599,43.730191738254334,1.016981203215217,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,04bb4aeec7161f45fec6ec171fb69656481c376e2f6a30c5a2524f5cce757106
aime24__model=qwen2_5_3b,qwen2_5_3b,64,96,30,0.6642594404182274,96.34789677916308,1.0036239247829488,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,50150ed3350996ee46fb092328db83437bf4bb23a2777d0169d30911b327d76d
aime24__model=qwen2_5_7b,qwen2_5_7b,8,9,30,0.8394771758274795,9.529740927279333,1.058860103031037,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,63112c7df58cac074f64900d363413b455998b0ff2cb1b80f09c9f3499fd3009
aime24__model=qwen2_5_7b,qwen2_5_7b,16,20,30,0.7633174165607386,20.96113576458248,1.0480567882291238,0669721fa26117fee305b0747bbe1736274542aa726a1ca70f5b8f4f7759fa02,uniform_rounded_equivalent_v1,1416f32fca74b4dfc87c905f6d443ac9a38848c70530944122244456a4ce9a7b
